Id,name,country,hometown,
89,ソフィア・ブッシュ,アメリカ,パサデナ,
90,スカーレット・ヨハンソン,アメリカ,ニューヨーク,
91,アマンダ・バインズ,アメリカ,サウザンドオークス,
92,レベッカ・ファーガソン,スウェーデン,ストックホルム,
93,パリス・ヒルトン,アメリカ,ニューヨーク,
94,シエンナ・ギロリー,イギリス,ノーサンプトンシャーケタリング,
95,キャメロン・ディアス,アメリカ,サンディエゴ,
96,ナタリー・ポートマン,イスラエル,エルサレム,
97,マーゴット・ロビー,オーストラリア,ゴールドコースト,
98,エマ・ワトソン,フランス,パリ,
99,アンジョリーナ・ジョリー,アメリカ,ロサンゼルス,
100,アン・ハサウェイ,アメリカ,ブルックリン,
101,モーガン・フリーマン,不明,不明,
102,グウィネス・パルトロー,不明,不明,
103,R・リー・アーメイ,不明,不明,
104,ケヴィン・スペイシー,不明,不明,
105,渡辺謙,不明,不明,
106,ジョセフ・ゴードン＝レヴィット,不明,不明,
107,マリオン・コティヤール,不明,不明,
108,エレン・ペイジ,不明,不明,
109,トム・ハーディ,不明,不明,
110,キリアン・マーフィー,不明,不明,
111,トム・ベレンジャー,不明,不明,
112,マイケル・ケイン,不明,不明,
113,マイケル・ファスベンダー,不明,不明,
114,ハビエル・バルデム,不明,不明,
115,ロージー・ペレス,不明,不明,
116,ブルーノ・ガンツ,不明,不明,
117,ルーベン・ブラデス,不明,不明,
118,ディーン・ノリス,不明,不明,
119,ジョディ・フォスター,不明,不明,
120,アンソニー・ホプキンス,不明,不明,
121,スコット・グレン,不明,不明,
122,テッド・レヴィン,不明,不明,
123,ブラッドリー・クーパー,不明,不明,
124,シエナ・ミラー,不明,不明,
125,ジョナ・ヒル,不明,不明,
126,ジャン・デュジャルダン,不明,不明,
127,ロブ・ライナー,不明,不明,
128,ジョン・バーンサル,不明,不明,
129,ベネディクト・カンバーバッチ,不明,不明,
130,テッド・タリー,不明,不明,
131,アンドリュー・ガーフィールド,不明,不明,
132,ジャスティン・ティンバーレイク,不明,不明,
133,アーミー・ハマー,不明,不明,
134,ジョシュ・ペンス,不明,不明,
135,マックス・ミンゲラ,不明,不明,
136,ラシダ・ジョーンズ,不明,不明,
137,ブレンダ・ソング,不明,不明,
138,フランソワ・クリュゼ,不明,不明,
139,オマール・シー,不明,不明,
140,アンヌ・ル・ニ,不明,不明,
141,オドレイ・フルーロ,不明,不明,
142,アーロン・エッカート,不明,不明,
143,マギー・ジレンホール,不明,不明,
144,シルヴェスター・スタローン,不明,不明,
145,ジェット・リー,不明,不明,
146,ドルフ・ラングレン,不明,不明,
147,ミッキー・ローク,不明,不明,
148,アーノルド・シュワルツェネッガー,不明,不明,
149,ランディ・クートゥア,不明,不明,
150,ミシェル・ロドリゲス,不明,不明,
151,ジョーダナ・ブリュースター,不明,不明,
152,リック・ユーン,不明,不明,
153,チャド・リンドバーグ,不明,不明,
154,クリス・エヴァンス,不明,不明,
155,マーク・ラファロ,不明,不明,
156,クリス・ヘムズワース,不明,不明,
157,サミュエル・L・ジャクソン,不明,不明,
158,スー・チー,不明,不明,
159,アレクサンダー・ゴドノフ,不明,不明,
160,ボニー・ベデリア,不明,不明,
161,ジョン・ヴォイト,不明,不明,
162,エマニュエル・ベアール,不明,不明,
163,ビル・アーウィン,不明,不明,
164,エレン・バースティン,不明,不明,
165,ティム・ロビンス,不明,不明,
166,ルパート・グリント,不明,不明,
167,ジョン・クリーズ,不明,不明,
168,ロビー・コルトレーン,不明,不明,
169,リチャード・グリフィス,不明,不明,
170,リチャード・ハリス,不明,不明,
171,イアン・ハート,不明,不明,
172,ジョン・ハート,不明,不明,
173,フィオナ・ショウ,不明,不明,
174,マギー・スミス,不明,不明,
175,ショーン・ビガースタッフ,不明,不明,
176,ワーウィック・デイヴィス,不明,不明,
177,ジュリー・ウォルターズ,不明,不明,
178,ゾーイ・ワナメイカー,不明,不明,
179,デイビッド・ブラッドリー,不明,不明,
180,マーク・ハミル,不明,不明,
181,キャリー・フィッシャー,不明,不明,
182,アレック・ギネス,不明,不明,
183,ピーター・カッシング,不明,不明,
184,クリステン・ウィグ,不明,不明,
185,マイケル・ペーニャ,不明,不明,
186,ショーン・ビーン,不明,不明,
187,ケイト・マーラ,不明,不明,
188,セバスチャン・スタン,不明,不明,
189,アクセル・ヘニー,不明,不明,
190,キウェテル・イジョフォー,不明,不明,
191,クリストファー・ロイド,不明,不明,
192,エド・ヘルムズ,不明,不明,
193,ザック・ガリフィアナキス,不明,不明,
194,ジャスティン・バーサ,不明,不明,
195,ヘザー・グラハム,不明,不明,
196,テレンス・スタンプ,不明,不明,
197,ズーイー・デシャネル,不明,不明,
198,マーク・ウォールバーグ,不明,不明,
199,ミラ・キュニス,不明,不明,
200,ジョエル・マクヘイル,不明,不明,
201,ジョヴァンニ・リビシ,不明,不明,
202,サイモン・ペグ,不明,不明,
203,ニック・フロスト,不明,不明,
204,ケイト・アシュフィールド,不明,不明,
205,マコーレー・カルキン,不明,不明,
206,ジョー・ペシ,不明,不明,
207,ダニエル・スターン,不明,不明,
208,ソフィア・リリス,不明,不明,
209,フィン・ウォルフハード,不明,不明,
210,ワイアット・オレフ,不明,不明,
211,チョーズン・ジェイコブス,不明,不明,
212,ジャック・ディラン・グレイザー,不明,不明,
213,イザベル・ファーマン,不明,不明,
214,ハーレイ・ジョエル・オスメント,不明,不明,
215,オリヴィア・ウィリアムズ,不明,不明,
216,マヌエラ・ベラスコ,不明,不明,
217,フェラン・テラッサ,不明,不明,
218,ホルヘ・ヤマン・セラーノ,不明,不明,
219,カルロス・ラサルテ,不明,不明,
220,パブロ・ロッソ,不明,不明,
221,ロレンソ・フェロ,不明,不明,
222,セシリア・ロス,不明,不明,
223,ミシェル・ウィリアムズ,不明,不明,
224,クリストファー・プラマー,不明,不明,
225,チャーリー・プラマー,不明,不明,
226,ティモシー・ハットン,不明,不明,
227,ロマン・デュリス,不明,不明,
228,クレア・フォイ,不明,不明,
229,ジョシュア・レナード,不明,不明,
230,ジェイ・ファロー,不明,不明,
231,ジュノー・テンプル,不明,不明,
232,ラミ・マレック,不明,不明,
233,ルーシー・ボイントン,不明,不明,
234,グウィリム・リー,不明,不明,
235,ベン・ハーディ,不明,不明,
236,ジョゼフ・マゼロ,不明,不明,
237,エイダン・ギレン,不明,不明,
238,トム・ホランダー,不明,不明,
239,アレン・リーチ,不明,不明,
240,マイク・マイヤーズ,不明,不明,
241,ゼンデイヤ,不明,不明,
242,レディー・ガガ,不明,不明,
243,アンドリュー・ダイス・クレイ,不明,不明,
244,デイヴ・シャペル,不明,不明,
245,サム・エリオット,不明,不明,
246,リズ・アーメッド,不明,不明,
247,ジャック・ブラック,不明,不明,
248,ケヴィン・ハート,不明,不明,
249,カレン・ギラン,不明,不明,
250,ニック・ジョナス,不明,不明,
251,ボビー・カナヴェイル,不明,不明,
252,アレックス・ウルフ,不明,不明,
253,マディソン・アイズマン,不明,不明,
254,サンドラ・ブロック,不明,不明,
255,ケイト・ブランシェット,不明,不明,
256,ミンディ・カリング,不明,不明,
257,サラ・ポールソン,不明,不明,
258,オークワフィナ,不明,不明,
259,ゾーイ・クラヴィッツ,不明,不明,
260,カラム・ターナー,不明,不明,
261,クローディア・キム,不明,不明,
262,ウィリアム・ナディラム,不明,不明,
263,ケヴィン・ガスリー,不明,不明,
264,タイ・シェリダン,不明,不明,
265,オリヴィア・クック,不明,不明,
266,ベン・メンデルソーン,不明,不明,
267,T・J・ミラー,不明,不明,
268,マーク・ライランス,不明,不明,
269,ナオミ・ハリス,不明,不明,
270,マリン・アッカーマン,不明,不明,
271,ジェイク・レイシー,不明,不明,
272,ジェフリー・ディーン・モーガン,不明,不明,
273,ローズ・バーン,不明,不明,
274,ドーナル・グリーソン,不明,不明,
275,サム・ニール,不明,不明,
276,エリザベス・デビッキ,不明,不明,
277,ジェームズ・コーデン,不明,不明,
278,ベン・ウィショー,不明,不明,
279,ヒュー・ボネヴィル,不明,不明,
280,サリー・ホーキンス,不明,不明,
281,ジム・ブロードベント,不明,不明,
282,ヒュー・グラント,不明,不明,
283,ブレンダン・グリーソン,不明,不明,
284,ノア・テイラー,不明,不明,
285,ジョシュ・ブローリン,不明,不明,
286,モリーナ・バッカリン,不明,不明,
287,ジュリアン・デニソン,不明,不明,
288,ザジー・ビーツ,不明,不明,
289,ブリアナ・ヒルデブランド,不明,不明,
290,ジャック・ケシー,不明,不明,
291,ケイシー・アフレック,不明,不明,
292,ルーニー・マーラ,不明,不明,
293,エミリー・ブラント,不明,不明,
294,ジョン・クラシンスキー,不明,不明,
295,ミリセント・シモンズ,不明,不明,
296,ジェイミー・リー・カーティス,不明,不明,
297,ジュディ・グリア,不明,不明,
298,ジェームズ・マカヴォイ,不明,不明,
299,アニャ・テイラー＝ジョイ,不明,不明,
300,ユアン・マクレガー,不明,不明,
301,カイリー・カラン,不明,不明,
302,クリフ・カーティス,不明,不明,
303,オーブリー・プラザ,不明,不明,
304,ガブリエル・ベイトマン,不明,不明,
305,ブライアン・タイリー・ヘンリー,不明,不明,
306,ティム・マシスン,不明,不明,
307,アレックス・オノルド,不明,不明,
308,サニ・マクキャンドレス,不明,不明,
309,ジミー・チン,不明,不明,
310,マイケル・ガーザ,不明,不明,
311,ガブリエル・ラッシュ,不明,不明,
312,オースティン・ザジュール,不明,不明,
313,ジョン・ファヴロー,不明,不明,
314,J・B・スムーヴ,不明,不明,
315,ジェイコブ・バタロン,不明,不明,
316,マーティン・スター,不明,不明,
317,トニー・レヴォロリ,不明,不明,
318,マリサ・トメイ,不明,不明,
319,ジェイク・ジレンホール,不明,不明,
320,J・K・シモンズ,不明,不明,
321,イドリス・エルバ,不明,不明,
322,ヴァネッサ・カービー,不明,不明,
323,ヘレン・ミレン,不明,不明,
324,キアヌ・リーヴス,不明,不明,
325,ハル・ベリー,不明,不明,
326,ローレンス・フィッシュバーン,不明,不明,
327,マーク・ダカスコス,不明,不明,
328,エイジア・ケイト・ディロン,不明,不明,
329,ランス・レディック,不明,不明,
330,アンジェリカ・ヒューストン,不明,不明,
331,イアン・マクシェーン,不明,不明,
332,ローサ・サラザール,不明,不明,
333,クリストフ・ヴァルツ,不明,不明,
334,ジェニファー・コネリー,不明,不明,
335,マハーシャラ・アリ,不明,不明,
336,エド・スクライン,不明,不明,
337,ジャッキー・アール・ヘイリー,不明,不明,
338,キーアン・ジョンソン,不明,不明,
339,トミー・リー・ジョーンズ,不明,不明,
340,ルース・ネッガ,不明,不明,
341,リヴ・タイラー,不明,不明,
342,ドナルド・サザーランド,不明,不明,
343,カイル・チャンドラー,不明,不明,
344,ヴェラ・ファーミガ,不明,不明,
345,ミリー・ボビー・ブラウン,不明,不明,
346,ブラッドリー・ウィットフォード,不明,不明,
347,チャールズ・ダンス,不明,不明,
348,トーマス・ミドルディッチ,不明,不明,
349,アイシャ・ハインズ,不明,不明,
350,オシェア・ジャクソン・Jr,不明,不明,
351,デヴィッド・ストラザーン,不明,不明,
352,チャン・ツィイー,不明,不明,
353,ザッカリー・リーヴァイ,不明,不明,
354,マーク・ストロング,不明,不明,
355,アッシャー・エンジェル,不明,不明,
356,ジャイモン・フンスー,不明,不明,
357,ウディ・ハレルソン,不明,不明,
358,ジェシー・アイゼンバーグ,不明,不明,
359,アビゲイル・ブレスリン,不明,不明,
360,エミール・ハーシュ,不明,不明,
361,マッケナ・グレイス,不明,不明,
362,ケイティ・サリフ,不明,不明,
363,パトリック・ウィルソン,不明,不明,
364,ルピタ・ニョンゴ,不明,不明,
365,ウィンストン・デューク,不明,不明,
366,エリザベス・モス,不明,不明,
367,ティム・ハイデッカー,不明,不明,
368,ジェシカ・ローテ,不明,不明,
369,イズラエル・ブルサード,不明,不明,
370,スラージ・シャルマ,不明,不明,
371,サラ・ヤーキン,不明,不明,
372,マシュー・グッド,不明,不明,
373,ロリー・キニア,不明,不明,
374,ベン・アフレック,不明,不明,
375,ロザムンド・パイク,不明,不明,
376,ニール・パトリック・ハリス,不明,不明,
377,タイラー・ペリー,不明,不明,
378,キャリー・クーン,不明,不明,
379,キム・ディケンズ,不明,不明,
380,ジョナサン・デミ,不明,不明,
381,ジェレミー・レナー,不明,不明,
382,トム・ヒドルストン,不明,不明,
383,クラーク・グレッグ,不明,不明,
384,コビー・スマルダーズ,不明,不明,
385,ステラン・スカルスガルド,不明,不明,
386,ケイティー・フェザーストン,不明,不明,
387,ミカ・スロート,不明,不明,
388,ジェイデン・リーバハー,不明,不明,
389,ビル・スカルスガルド,不明,不明,
390,ジェレミー・レイ・テイラー,不明,不明,
391,リアーナ,不明,不明,
392,ヘレナ・ボナム＝カーター,不明,不明,
393,ダン・フォグラー,不明,不明,
394,アリソン・スドル,不明,不明,
395,エズラ・ミラー,不明,不明,
396,トミー・コールドウェル,不明,不明,
397,ハムザ・アル＝カデブ,不明,不明,
398,サマ・アル＝カデブ,不明,不明,
399,ワアド・アル＝カデブ,不明,不明,
400,ゾーイ・マーガレット・コレッテ,不明,不明,
401,マーガレット・クアリー,不明,不明,
402,ティモシー・オリファント,不明,不明,
403,オースティン・バトラー,不明,不明,
404,ブルース・ダーン,不明,不明,
405,アル・パチーノ,不明,不明,
406,デヴィッド・フィンチャー,不明,不明,
407,クリストファー・ノーラン,不明,不明,
408,リドリー・スコット,不明,不明,
409,クリント・イーストウッド,不明,不明,
410,マーティン・スコセッシ,不明,不明,
411,モルテン・ティルドゥム,不明,不明,
412,エリック・トレダノ,不明,不明,
413,ロブ・コーエン,不明,不明,
414,ジョス・ウェドン,不明,不明,
415,ルイ・レテリエ,不明,不明,
416,ジョン・マクティアナン,不明,不明,
417,ブライアン・デ・パルマ,不明,不明,
418,フランク・ダラボン,不明,不明,
419,クリス・コロンバス,不明,不明,
420,ジョージ・ルーカス,不明,不明,
421,ロバート・ゼメキス,不明,不明,
422,トッド・フィリップス,不明,不明,
423,ペイトン・リード,不明,不明,
424,セス・マクファーレン,不明,不明,
425,オーレン・ペリ,不明,不明,
426,アンディ・ムスキエティ,不明,不明,
427,ジャウム・コレット＝セラ,不明,不明,
428,M・ナイト・シャマラン,不明,不明,
429,ジャウマ・バラゲロ,不明,不明,
430,ルイス・オルテガ,不明,不明,
431,スティーヴン・ソダーバーグ,不明,不明,
432,ブライアン・シンガー,不明,不明,
433,マイケル・グレイシー,不明,不明,
434,ルーベン・フライシャー,不明,不明,
435,ジェイク・カスダン,不明,不明,
436,ゲイリー・ロス,不明,不明,
437,デヴィッド・イェーツ,不明,不明,
438,スティーヴン・スピルバーグ,不明,不明,
439,ブラッド・ペイトン,不明,不明,
440,ウィル・グラック,不明,不明,
441,ポール・キング,不明,不明,
442,デヴィッド・リーチ,不明,不明,
443,デヴィッド・ロウリー,不明,不明,
444,デヴィッド・ゴードン・グリーン,不明,不明,
445,マイク・フラナガン,不明,不明,
446,ラース・クレヴバーグ,不明,不明,
447,エリザベス・チャイ・ヴァサルヘリィ,不明,不明,
448,アンドレ・ウーヴレダル,不明,不明,
449,ジョン・ワッツ,不明,不明,
450,チャド・スタエルスキ,不明,不明,
451,ロバート・ロドリゲス,不明,不明,
452,ジェームズ・グレイ,不明,不明,
453,マイケル・ドハティ,不明,不明,
454,デヴィッド・F・サンドバーグ,不明,不明,
455,クエンティン・タランティーノ,不明,不明,
456,ゲイリー・ドーベルマン,不明,不明,
457,ジョーダン・ピール,不明,不明,
458,クリストファー・B・ランドン,不明,不明,
459,ギリアン・フリン,不明,不明,
460,アンドリュー・ケヴィン・ウォーカー,不明,不明,
461,コーマック・マッカーシー,不明,不明,
462,ジェイソン・ホール,不明,不明,
463,テレンス・ウィンター,不明,不明,
464,グレアム・ムーア,不明,不明,
465,アーロン・ソーキン,不明,不明,
466,オリヴィエ・ナカシュ,不明,不明,
467,デヴィッド・キャラハム,不明,不明,
468,ゲイリー・スコット・トンプソン,不明,不明,
469,リュック・ベッソン,不明,不明,
470,スティーヴン・E・デ・スーザ,不明,不明,
471,デヴィッド・コープ,不明,不明,
472,スティーブ・クローブス,不明,不明,
473,ドリュー・ゴダード,不明,不明,
474,ジョン・ルーカス,不明,不明,
475,ニコラス・ストーラー,不明,不明,
476,ジョン・ヒューズ,不明,不明,
477,チェイス・パーマー,不明,不明,
478,デヴィッド・レスリー・ジョンソン,不明,不明,
479,デヴィッド・スカルパ,不明,不明,
480,ジョセフ・マロック,不明,不明,
481,アンソニー・マクカーテン,不明,不明,
482,ジェニー・ビックス,不明,不明,
483,エリック・ロス,不明,不明,
484,スコット・ローゼンバーグ,不明,不明,
485,クリス・マッケンナ,不明,不明,
486,J・K・ローリング,不明,不明,
487,アーネスト・クライン,不明,不明,
488,ライアン・イングル,不明,不明,
489,ロブ・ライバー,不明,不明,
490,レット・リース,不明,不明,
491,ブライアン・ウッズ,不明,不明,
492,タイラー・バートン・スミス,不明,不明,
493,ダン・ヘイグマン,不明,不明,
494,クリス・マッケナ,不明,不明,
495,クリス・モーガン,不明,不明,
496,デレク・コルスタット,不明,不明,
497,ジェームズ・キャメロン,不明,不明,
498,マックス・ボレンスタイン,不明,不明,
499,ヘンリー・ゲイデン,不明,不明,
500,エドガー・ライト,不明,不明,
501,ジョン・ステイモス,不明,不明,
502,ボブ・サゲット,不明,不明,
503,デイブ・クーリエ,不明,不明,
504,キャンディス・キャメロン,不明,不明,
505,ジョディ・スウィーティン,不明,不明,
506,アシュレー・オルセン,不明,不明,
507,メアリー=ケイト・オルセン,不明,不明,
508,ロリ・ロックリン,不明,不明,
509,アンドリア・バーバー,不明,不明,
510,ブレイク・トゥオミー＝ウィルホイット,不明,不明,
511,ディラン・トゥオミー＝ウィルホイット,不明,不明,
512,スコット・ウェインガー,不明,不明,
513,キーファー・サザーランド,不明,不明,
514,メアリー・リン・ライスカブ,不明,不明,
515,チェリー・ジョーンズ,不明,不明,
516,アニー・ワーシング,不明,不明,
517,コルム・フィオール,不明,不明,
518,ボブ・ガントン,不明,不明,
519,ジャニーン・ガラファロー,不明,不明,
520,カルロス・バーナード,不明,不明,
521,ジャレッド・パダレッキ,不明,不明,
522,ジェンセン・アクレス,不明,不明,
523,マーク・ハーモン,不明,不明,
524,ポーリー・ペレット,不明,不明,
525,ショーン・マーレイ,不明,不明,
526,ウィルマー・バルデラマ,不明,不明,
527,マリア・ベロ,不明,不明,
528,エミリー・ウィッカーシャム,不明,不明,
529,ブライアン・ディーツェン,不明,不明,
530,デュアン・ヘンリー,不明,不明,
531,ロッキー・キャロル,不明,不明,
532,デヴィッド・マッカラム,不明,不明,
533,レイトン・ミースター,不明,不明,
534,ペン・バッジリー,不明,不明,
535,チェイス・クロフォード,不明,不明,
536,テイラー・モムセン,不明,不明,
537,エド・ウェストウィック,不明,不明,
538,ジェシカ・ゾア,不明,不明,
539,ブライアン・クランストン,不明,不明,
540,マーティン・フリーマン,不明,不明,
541,マーク・ゲイティス,不明,不明,
542,ルパート・グレイヴス,不明,不明,
543,アンドリュー・スコット,不明,不明,
544,ユーナ・スタッブス,不明,不明,
545,ヴィネット・ロビンソン,不明,不明,
546,ルイーズ・ブリーリー,不明,不明,
547,イライザ・テイラー,不明,不明,
548,ペイジ・ターコー,不明,不明,
549,リッキー・ウィトル,不明,不明,
550,イザイア・ワシントン,不明,不明,
551,ヘンリー・イアン・キュージック,不明,不明,
552,トーマス・マクドネル,不明,不明,
553,デヴォン・ボスティック,不明,不明,
554,ジョー・マンテーニャ,不明,不明,
555,トーマス・ギブソン,不明,不明,
556,パジェット・ブリュースター,不明,不明,
557,シェマー・ムーア,不明,不明,
558,マシュー・グレイ・ギュブラー,不明,不明,
559,A・J・クック,不明,不明,
560,カーステン・ヴァングスネス,不明,不明,
561,ジョニー・ガレッキ,不明,不明,
562,ジム・パーソンズ,不明,不明,
563,ケイリー・クオコ,不明,不明,
564,サイモン・ヘルバーク,不明,不明,
565,クナル・ネイヤー,不明,不明,
566,サラ・ギルバート,不明,不明,
567,ジェシー・プレモンス,不明,不明,
568,クリスティン・ミリオティ,不明,不明,
569,ジミ・シンプソン,不明,不明,
570,ウィノナ・ライダー,不明,不明,
571,デヴィッド・ハーバー,不明,不明,
572,フィン・ヴォルフハルト,不明,不明,
573,ゲイテン・マタラッツォ,不明,不明,
574,ケイレブ・マクラフリン,不明,不明,
575,ナタリア・ダイアー,不明,不明,
576,チャーリー・ヒートン,不明,不明,
577,カーラ・ブオノ,不明,不明,
578,マシュー・モディーン,不明,不明,
579,ノア・シュナップ,不明,不明,
580,デイカー・モンゴメリー,不明,不明,
581,ジョー・キーリー,不明,不明,
582,セイディー・シンク,不明,不明,
583,ショーン・アスティン,不明,不明,
584,ポール・ライザー,不明,不明,
585,プリア・ファーガソン,不明,不明,
586,マヤ・ホーク,不明,不明,
587,アンドリュー・リンカーン,不明,不明,
588,サラ・ウェイン・キャリーズ,不明,不明,
589,ローリー・ホールデン,不明,不明,
590,ジェフリー・デマン,不明,不明,
591,スティーヴン・ユァン,不明,不明,
592,チャンドラー・リッグス,不明,不明,
593,ノーマン・リーダス,不明,不明,
594,ローレン・コーハン,不明,不明,
595,ダナイ・グリラ,不明,不明,
596,マイケル・ルーカー,不明,不明,
597,デビッド・モリシー,不明,不明,
598,メリッサ・マクブライド,不明,不明,
599,スコット・ウィルソン,不明,不明,
600,マイケル・カドリッツ,不明,不明,
601,エミリー・キニー,不明,不明,
602,チャド・コールマン,不明,不明,
603,レニー・ジェームズ,不明,不明,
604,リチャード・マッデン,不明,不明,
605,ミシェル・フェアリー,不明,不明,
606,ソフィー・ターナー,不明,不明,
607,アイザック・ヘンプステッド＝ライト,不明,不明,
608,メイジー・ウィリアムズ,不明,不明,
609,キット・ハリントン,不明,不明,
610,ニコライ・コスター＝ワルドー,不明,不明,
611,レナ・ヘディ,不明,不明,
612,ピーター・ディンクレイジ,不明,不明,
613,エミリア・クラーク,不明,不明,
614,ハリー・ロイド,不明,不明,
615,マーク・アディ,不明,不明,
616,スティーヴン・ディレイン,不明,不明,
617,ゲシン・アンソニー,不明,不明,
618,ジャック・グリーソン,不明,不明,
619,ディーン＝チャールズ・チャップマン,不明,不明,
620,ミン・ナ・ウェン,不明,不明,
621,ブレット・ダルトン,不明,不明,
622,クロエ・ベネット,不明,不明,
623,イアン・デ・カーステッカー,不明,不明,
624,エリザベス・ヘンストリッジ,不明,不明,
625,ニック・ブラッド,不明,不明,
626,エイドリアンヌ・パリッキ,不明,不明,
627,ヘンリー・シモンズ,不明,不明,
628,ルーク・ミッチェル,不明,不明,
629,ジョン・ハナー,不明,不明,
630,デヴィッド・ジュントーリ,不明,不明,
631,サイラス・ウィアー・ミッチェル,不明,不明,
632,ビッツィー・トゥロック,不明,不明,
633,レジー・リー,不明,不明,
634,ブリー・ターナー,不明,不明,
635,ウェントワース・ミラー,不明,不明,
636,ドミニク・パーセル,不明,不明,
637,アマウリー・ノラスコ,不明,不明,
638,ロバート・ネッパー,不明,不明,
639,ウェイド・ウィリアムズ,不明,不明,
640,ロックモンド・ダンバー,不明,不明,
